course_name,race_name,off_time,horse_name,betfair_price,trainer_name,jockey_name,market_rank
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Ahamoment (IRE),3.70,T D Barron,William Pyle,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Woodstock (IRE),4.50,Mrs R Carr,Joanna Mason,2
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Tactical Plan (GB),5.10,E A L Dunlop,P Mulrennan,3
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Catalyse (IRE),7.00,R A Fahey,O J Orr,4
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Yaaser (IRE),7.00,J S Goldie,Amie Waugh,4
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,U Sure Do (IRE),7.20,T D Easterby,Sean Kirrane,6
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Sir Garfield (IRE),8.00,J & S Quinn,Jason Hart,7
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Cliffcake (IRE),11.00,S R Bowring,Darragh Keenan,8
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Coconut Bay (GB),11.00,T Davidson,Rowan Scott,8
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Danzan (IRE),11.00,T D Easterby,D Fentiman,8
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Trawlerman (IRE),1.53,J & T Gosden,W Buick,1
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Sweet William (IRE),6.20,J & T Gosden,R Havlin,2
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Stay True (IRE),7.60,A P O'Brien,C Soumillon,3
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Al Qareem (IRE),15.50,K R Burke,C Lee,4
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Saratoga (IRE),100.00,A P O'Brien,Wayne Lordan,5
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Electric Eddy (GB),3.15,N & W Twiston-Davies,Miss Amber Jackson-Fennell,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Sain Et Sauf (GB),4.70,F O'Brien,Alice Stevens,2
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Gerard Mentor (FR),6.00,K Bailey & M Nicholls,Isabelle Ryder,3
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Zenato (IRE),6.00,F O'Brien,Fern O'Brien,3
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Coup De Gold (IRE),6.00,Evan Williams,Miss Eleanor Williams,3
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Character Testing (GB),6.00,T Ellis,Miss Gina Andrews,3
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Freddie Fleetfoot (GB),9.20,C J Gray,Miss Thomosina Eyston,7
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Virtual Hug (IRE),10.00,Mrs N S Evans,Miss Heidi Palin,8
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Granny B (IRE),10.00,M Mullineaux,Lily Pinchin,8
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Lusso Milan (IRE),11.00,D G Bridgwater,Miss Molly Legg,10
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Barbie Girlz (IRE),12.00,Katy Price,Miss C Morris,11
Catterick,William Hill Catterick Dash Handicap,12:20:00,Vintage Clarets (GB),4.10,R A Fahey,Ethan Tindall,1
Catterick,William Hill Catterick Dash Handicap,12:20:00,Venture Capital (GB),5.50,K A Ryan,S A Gray,2
Catterick,William Hill Catterick Dash Handicap,12:20:00,Lexington Blitz (IRE),5.70,R M H Cowell,Edward Greatrex,3
