course_name,race_name,off_time,horse_name,win_ppwap,trainer_name,rank
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Spanish Hustle (GB),2.7,J S Goldie,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Made All (GB),2.7,S England,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Aajej (GB),2.7,S & E Crisford,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Fouroneohfever (IRE),2.7,G Boughey,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Ghaiyya (GB),2.7,C Johnston,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Mafting (GB),2.7,D O'Meara,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,K R Burke,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,M Bowen,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,A M Balding,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,Lizzie Quinlan,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,J S Goldie,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,S England,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,S & E Crisford,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,G Boughey,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,2.7,C Johnston,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Elsie's Ruan,2.7,G Tutty,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Arkinthestars (GB),2.7,K R Burke,1
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,Thosewerethedays (IRE),3,R M Beckett,23
Catterick,Download The Raceday Ready App Handicap (GBBPlus R,10:56:00,,3,R M Beckett,23
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,In A Hurry (GB),2.7,D O'Meara,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Chuti Manika (IRE),2.7,C Johnston,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,E Bethell,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Wreck It Ryley (IRE),2.7,A D Brown,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,J & S Quinn,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Native Instinct (GB),2.7,E Bethell,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Magic Boy (GER),2.7,N Tinkler,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Quest For Fun (GB),2.7,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Mudamer (IRE),2.7,G A Harker,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,D O'Meara,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,C Johnston,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,N Tinkler,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,G A Harker,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.7,A D Brown,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Highfield Viking (GB),2.7,J & S Quinn,1
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Vince Le Prince (GB),2.74,T D Easterby,17
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,2.74,T D Easterby,17
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,,5.5,T Coyle & K Wood,19
Catterick,William Hill Football Final One Standing Handicap ,11:23:00,Havana Prince (GB),5.5,T Coyle & K Wood,19
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Sir Garfield (IRE),2.74,J & S Quinn,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,S R Bowring,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,U Sure Do (IRE),2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Coconut Bay (GB),2.74,T Davidson,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Yaaser (IRE),2.74,J S Goldie,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Cliffcake (IRE),2.74,S R Bowring,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Danzan (IRE),2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,J & S Quinn,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,T Davidson,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,2.74,J S Goldie,1
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,4.5,Mrs R Carr,13
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Woodstock (IRE),4.5,Mrs R Carr,13
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,5.1,E A L Dunlop,15
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Tactical Plan (GB),5.1,E A L Dunlop,15
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,5.3,T D Barron,17
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Ahamoment (IRE),5.3,T D Barron,17
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,,7.2,R A Fahey,19
Catterick,William Hill Football Final One Standing Handicap ,11:50:00,Catalyse (IRE),7.2,R A Fahey,19
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Trawlerman (IRE),1.54,J & T Gosden,1
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,,1.54,J & T Gosden,1
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Sweet William (IRE),6,J & T Gosden,3
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,,6,J & T Gosden,3
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Stay True (IRE),7.6,A P O'Brien,5
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,,7.6,A P O'Brien,5
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Al Qareem (IRE),15.5,K R Burke,7
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,,15.5,K R Burke,7
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,,100,A P O'Brien,9
Ascot,Qipco British Champions Long Distance Cup (Group 1,11:55:00,Saratoga (IRE),100,A P O'Brien,9
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Gerard Mentor (FR),2.7,K Bailey & M Nicholls,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Zenato (IRE),2.7,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Sain Et Sauf (GB),2.7,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Lusso Milan (IRE),2.7,D G Bridgwater,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Character Testing (GB),2.7,T Ellis,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Granny B (IRE),2.7,M Mullineaux,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Freddie Fleetfoot (GB),2.7,C J Gray,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Coup De Gold (IRE),2.7,Evan Williams,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,F O'Brien,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,K Bailey & M Nicholls,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,Mrs N S Evans,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,T Ellis,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,M Mullineaux,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,C J Gray,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,Evan Williams,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Barbie Girlz (IRE),2.7,Katy Price,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,Virtual Hug (IRE),2.7,Mrs N S Evans,1
Stratford,Nigel Reeve 60th Birthday Celebration Female Jocke,12:15:00,,2.7,Katy Price,1
