course_name,race,time,horse_name,price,trainer,rank
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,Wagyu Star,9.00,J & S Quinn,9
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,,10.00,T D Easterby,13
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,Deep Sleep (GB),10.00,T D Easterby,13
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,,11.00,D Loughnane,15
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,This Rib (GB),11.00,D Loughnane,15
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,West Sleekburn Lad,12.00,P D Niven,17
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,West Sleekburn Lad,12.00,P D Niven,17
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,,14.00,Dylan Cunha,19
Catterick,EBF 'Confined' Restricted Maiden Stakes (GBB ,10:00:00,Lilykoy (GB),14.00,Dylan Cunha,19
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,A M Balding,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,T D Barron,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,He's Our Cracker,2.30,J Candlish,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Proud To Be Fox (GB),2.30,T D Easterby,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Approaching Dawn (GB),2.30,J S Goldie,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Savannah Grey (IRE),2.30,Ollie Sangster,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,Ollie Sangster,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,He's Our Cracker,2.30,J Candlish,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Pension Pot (GB),2.30,T D Barron,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Secret Sonata (GB),2.30,A M Balding,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,Mrs A Duffield,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,J S Goldie,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,2.30,T D Easterby,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Nanyuki (IRE),2.30,Mrs A Duffield,1
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,23.00,Steph Hollinshead,15
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Harry Mole (GB),23.00,Steph Hollinshead,15
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,,42.00,B Rothwell,17
Catterick,Every Race Live On Racing TV Novice Stakes (G,10:28:00,Benjamin Brodie (GB),42.00,B Rothwell,17
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,A M Balding,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Arkinthestars (GB),2.70,K R Burke,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,D O'Meara,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Elsie's Ruan,2.70,G Tutty,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,C Johnston,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,S & E Crisford,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,S England,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,J S Goldie,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,Lizzie Quinlan,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,M Bowen,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,K R Burke,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Mafting (GB),2.70,D O'Meara,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Elsie's Ruan,2.70,G Tutty,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Ghaiyya (GB),2.70,C Johnston,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Fouroneohfever (IRE),2.70,G Boughey,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Aajej (GB),2.70,S & E Crisford,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Made All (GB),2.70,S England,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Spanish Hustle (GB),2.70,J S Goldie,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Natzor (FR),2.70,Lizzie Quinlan,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Playtime (GB),2.70,A M Balding,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Yellow Card (GB),2.70,M Bowen,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,2.70,G Boughey,1
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,Thosewerethedays (IRE),3.00,R M Beckett,23
Catterick,Download The Raceday Ready App Handicap (GBBP,10:56:00,,3.00,R M Beckett,23
Catterick,William Hill Football Final One Standing Hand,11:23:00,In A Hurry (GB),2.70,D O'Meara,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,A D Brown,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Highfield Viking (GB),2.70,J & S Quinn,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,G A Harker,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,N Tinkler,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,C Johnston,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,D O'Meara,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Mudamer (IRE),2.70,G A Harker,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Quest For Fun (GB),2.70,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Magic Boy (GER),2.70,N Tinkler,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Native Instinct (GB),2.70,E Bethell,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,J & S Quinn,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Wreck It Ryley (IRE),2.70,A D Brown,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.70,E Bethell,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,Chuti Manika (IRE),2.70,C Johnston,1
Catterick,William Hill Football Final One Standing Hand,11:23:00,,2.74,T D Easterby,17
Catterick,William Hill Football Final One Standing Hand,11:23:00,Vince Le Prince (GB),2.74,T D Easterby,17
Catterick,William Hill Football Final One Standing Hand,11:23:00,,5.50,T Coyle & K Wood,19
Catterick,William Hill Football Final One Standing Hand,11:23:00,Havana Prince (GB),5.50,T Coyle & K Wood,19
Catterick,William Hill Football Final One Standing Hand,11:50:00,U Sure Do (IRE),2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Yaaser (IRE),2.74,J S Goldie,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Sir Garfield (IRE),2.74,J & S Quinn,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Cliffcake (IRE),2.74,S R Bowring,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,S R Bowring,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,J S Goldie,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Danzan (IRE),2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,T D Easterby,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,J & S Quinn,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,,2.74,T Davidson,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Coconut Bay (GB),2.74,T Davidson,1
Catterick,William Hill Football Final One Standing Hand,11:50:00,Woodstock (IRE),4.50,Mrs R Carr,13
Catterick,William Hill Football Final One Standing Hand,11:50:00,,4.50,Mrs R Carr,13
Catterick,William Hill Football Final One Standing Hand,11:50:00,,5.10,E A L Dunlop,15
Catterick,William Hill Football Final One Standing Hand,11:50:00,Tactical Plan (GB),5.10,E A L Dunlop,15
Catterick,William Hill Football Final One Standing Hand,11:50:00,,5.30,T D Barron,17
Catterick,William Hill Football Final One Standing Hand,11:50:00,Ahamoment (IRE),5.30,T D Barron,17
Catterick,William Hill Football Final One Standing Hand,11:50:00,,7.20,R A Fahey,19
Catterick,William Hill Football Final One Standing Hand,11:50:00,Catalyse (IRE),7.20,R A Fahey,19
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,,1.54,J & T Gosden,1
Ascot,Qipco British Champions Long Distance Cup (Gr,11:55:00,Trawlerman (IRE),1.54,J & T Gosden,1
